Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
1993,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,9.5
1996,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,11.9
1997,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,9.0
1999,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,10.6
2004,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,14.177744
2007,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,20.2
2008,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,24.2
2009,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,25.6
2010,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,32.5
2011,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,37.4
2012,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,42.3
2013,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,50.948558
2014,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,59.8
2015,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,67.4
2016,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,80.928907
2017,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,85.9
2019,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,,PT,85.77
1993,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,30.2
1996,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,29.3
1997,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,22.3
1999,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,24.4
2004,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,44.014684
2007,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,56.0
2008,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,62.1
2009,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,76.7
2010,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,78.1
2011,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,80.9
2012,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,87.0
2013,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,94.296733
2014,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,91.8
