Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
1993,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,KH,F,PT,5.0
1998,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,KH,F,PT,3.93
2003,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,KH,F,PT,7.5
2008,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,KH,F,PT,15.1
2013,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,KH,F,PT,17.58
2018,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,KH,F,PT,16.87
1993,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,KH,F,PT,0.0
1998,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,KH,F,PT,6.0
2003,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,KH,F,PT,6.6
2008,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,KH,F,PT,8.0
2013,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,KH,F,PT,20.54
2018,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,KH,F,PT,16.36
