Value,en,km,Disaggregation combinations using this value,Number of indicators
M0,under 1 month old,M0,33,1
Y_GE15,15 years old and over,Y_GE15,7,4
Y_GE18,18 years old and over,Y_GE18,1,1
Y_GE6,6 years old and over,Y_GE6,3,1
Y_GE65,65 years old and over,Y_GE65,3,1
Y_GE7,7 years old and over,Y_GE7,3,1
Y0,under 1 year old,Y0,10,1
Y0T17,under 18 years old,Y0T17,1,1
Y0T4,under 5 years old,Y0T4,99,3
Y13T15,13 to 15 years old,Y13T15,1,1
Y15T19,15 to 19 years old,Y15T19,1,1
Y15T24,15 to 24 years old,Y15T24,4,2
Y15T49,15 to 49 years old,Y15T49,2,2
Y18T21,18 to 21 years old,Y18T21,3,1
Y20T24,20 to 24 years old,Y20T24,1,1
Y25T34,25 to 34 years old,Y25T34,3,1
Y35T44,35 to 44 years old,Y35T44,3,1
Y45T54,45 to 54 years old,Y45T54,3,1
Y55T64,55 to 64 years old,Y55T64,3,1
Y6T14,6 to 14 years old,Y6T14,3,1
Y7T14,7 to 14 years old,Y7T14,3,1
